x,y,z,t
356.0,5781.0,-2240.0,1776885834.356
-1229.0,1061.0,-2025.0,1776885835.356
821.0,6928.0,-813.0,1776885837.85
-727.0,4376.0,-2210.0,1776885838.87
-817.0,4278.0,-2265.0,1776885840.37
-799.0,4238.0,-2275.0,1776885841.881
-827.0,4283.0,-2343.0,1776885842.878
-842.0,4228.0,-2265.0,1776885843.378
-929.0,4186.0,-2323.0,1776885844.87
-789.0,4243.0,-2225.0,1776885845.886
-857.0,4263.0,-2285.0,1776885846.897
-827.0,4331.0,-2270.0,1776885847.895
-812.0,4301.0,-2275.0,1776885848.896
-847.0,4326.0,-2290.0,1776885849.892
-837.0,4413.0,-2328.0,1776885851.891
-1037.0,3993.0,-1955.0,1776885857.91
-977.0,4048.0,-1995.0,1776885859.41
-1079.0,4048.0,-1975.0,1776885860.436
-1114.0,4033.0,-1980.0,1776885861.93
-1084.0,4068.0,-2045.0,1776885863.437
-1079.0,4086.0,-1955.0,1776885864.936
-1797.0,5631.0,-535.0,1776885875.111
-1892.0,5498.0,-608.0,1776885881.606
3833.0,1578.0,-1548.0,1776885882.797
3751.0,1416.0,-1853.0,1776885883.798
3701.0,1641.0,-1828.0,1776885884.217
3691.0,1503.0,-1760.0,1776885885.293
3633.0,1476.0,-1725.0,1776885885.811
3613.0,1436.0,-1808.0,1776885886.237
3716.0,1553.0,-1740.0,1776885886.811
3696.0,1466.0,-1750.0,1776885887.332
3711.0,1533.0,-1813.0,1776885888.332
3746.0,1513.0,-1750.0,1776885888.839
3683.0,1471.0,-1755.0,1776885889.331
3761.0,1456.0,-1818.0,1776885889.831
3716.0,1416.0,-1873.0,1776885890.251
3711.0,1513.0,-1730.0,1776885892.857
3683.0,1498.0,-1765.0,1776885893.351
3691.0,1483.0,-1838.0,1776885893.851
3691.0,1483.0,-1838.0,1776885894.358
3623.0,1461.0,-1798.0,1776885894.857
-14.0,6708.0,377.0,1776885895.857
-692.0,3131.0,-1510.0,1776885896.351
-3492.0,-2394.0,-1353.0,1776885896.853
1148.0,584.0,-1265.0,1776885898.871
1236.0,496.0,-1265.0,1776885899.377
1143.0,496.0,-1230.0,1776885899.871
1203.0,536.0,-1280.0,1776885900.371
1203.0,589.0,-1343.0,1776885900.872
1076.0,419.0,-1260.0,1776885901.378
888.0,21.0,-1215.0,1776885901.879
316.0,-719.0,-950.0,1776885902.371
161.0,-994.0,-863.0,1776885902.879
-1157.0,-901.0,-265.0,1776885903.378
-1607.0,-109.0,-5.0,1776885903.871
-1442.0,1436.0,202.0,1776885904.898
-1404.0,1476.0,182.0,1776885905.392
-1404.0,1476.0,192.0,1776885905.891
-1427.0,1338.0,202.0,1776885906.392
-1447.0,1333.0,167.0,1776885906.897
-1342.0,1508.0,245.0,1776885907.392
-1342.0,1508.0,245.0,1776885907.899
-1814.0,389.0,-58.0,1776885908.9
-562.0,-939.0,-643.0,1776885909.912
-9.0,-1339.0,-853.0,1776885910.392
346.0,-841.0,-853.0,1776885911.418
446.0,-636.0,-833.0,1776885911.892
451.0,-584.0,-823.0,1776885912.412
336.0,-821.0,-903.0,1776885912.914
243.0,-1014.0,-858.0,1776885913.418
898.0,604.0,-1285.0,1776885914.418
331.0,814.0,-1563.0,1776885914.912
-184.0,994.0,-1705.0,1776885915.418
-717.0,236.0,-1798.0,1776885915.912
-289.0,-16.0,-1883.0,1776885916.419
1076.0,224.0,-1475.0,1776885917.432
1323.0,466.0,-1435.0,1776885917.912
1736.0,1273.0,-1205.0,1776885918.432
1803.0,1313.0,-1113.0,1776885918.932
1793.0,1268.0,-1168.0,1776885919.432
1731.0,1246.0,-1138.0,1776885919.938
1736.0,1308.0,-1163.0,1776885920.432
1751.0,1293.0,-1168.0,1776885920.932
1721.0,1241.0,-1138.0,1776885921.44
1458.0,804.0,-1163.0,1776885921.952
1396.0,461.0,-1515.0,1776885922.432
868.0,-191.0,-1818.0,1776885922.952
131.0,-411.0,-1858.0,1776885923.452
-87.0,-169.0,-1725.0,1776885923.952
-319.0,554.0,-1593.0,1776885924.432
-92.0,969.0,-1613.0,1776885924.952
393.0,959.0,-1435.0,1776885925.452
461.0,296.0,-1133.0,1776885925.952
441.0,-271.0,-1030.0,1776885926.452
573.0,21.0,-1098.0,1776885927.452
476.0,-236.0,-955.0,1776885927.973
46.0,-599.0,-965.0,1776885928.452
-532.0,-729.0,-658.0,1776885928.972
-1209.0,-491.0,-313.0,1776885929.472
-1442.0,-36.0,-103.0,1776885929.972
-1674.0,931.0,-40.0,1776885930.472
-1172.0,2066.0,122.0,1776885930.979
-1194.0,2041.0,182.0,1776885931.472
-1229.0,1973.0,152.0,1776885932.478
-1204.0,1983.0,142.0,1776885932.977
-1142.0,2066.0,132.0,1776885933.481
-1509.0,1386.0,-240.0,1776885933.992
6176.0,2281.0,-1030.0,1776885934.492
11636.0,339.0,9422.0,1776885934.993
11041.0,-1266.0,12835.0,1776885935.472
11128.0,-1231.0,12845.0,1776885935.992
11053.0,-1301.0,12785.0,1776885936.495
10416.0,3076.0,12657.0,1776885937.499
9811.0,4883.0,12732.0,1776885937.992
9048.0,6738.0,12942.0,1776885938.501
8948.0,6788.0,12887.0,1776885938.998
8961.0,6826.0,12860.0,1776885939.499
8918.0,6581.0,12897.0,1776885939.999
8943.0,6353.0,12880.0,1776885940.499
10076.0,4698.0,12687.0,1776885941.001
10168.0,4926.0,12662.0,1776885941.496
10096.0,4643.0,12657.0,1776885941.995
10201.0,4848.0,12717.0,1776885942.492
10133.0,4668.0,12657.0,1776885943.012
9728.0,4571.0,13474.0,1776885943.52
5638.0,3921.0,18524.0,1776885944.014
3008.0,1893.0,23719.0,1776885944.52
2263.0,1831.0,24342.0,1776885945.038
2191.0,1763.0,24234.0,1776885945.512
2166.0,1796.0,24244.0,1776885946.032
2258.0,1763.0,24352.0,1776885946.538
-12721.0,906.0,18689.0,1776885947.536
-16866.0,-99.0,6100.0,1776885948.033
-16624.0,-286.0,3382.0,1776885948.533
-16751.0,-206.0,3402.0,1776885949.033
-16716.0,-241.0,3212.0,1776885949.534
-16989.0,-389.0,3447.0,1776885950.533
-16054.0,5063.0,2810.0,1776885951.033
-14819.0,7671.0,2602.0,1776885951.536
-14794.0,7626.0,2622.0,1776885952.033
-14769.0,7656.0,2770.0,1776885952.553
-14866.0,7681.0,2692.0,1776885953.059
-10254.0,5636.0,-6378.0,1776885954.053
-8872.0,4981.0,-6530.0,1776885954.553
-8804.0,5126.0,-6428.0,1776885955.055
-8872.0,5063.0,-6633.0,1776885955.555
-8969.0,4673.0,-6868.0,1776885956.061
-5497.0,1373.0,-4975.0,1776885957.073
-6209.0,1166.0,-5598.0,1776885957.553
-6232.0,1176.0,-6035.0,1776885958.074
-6292.0,1138.0,-5790.0,1776885958.559
-6194.0,1251.0,-5720.0,1776885959.073
-6179.0,1231.0,-5883.0,1776885959.573
-6174.0,1236.0,-6068.0,1776885960.073
-6237.0,1088.0,-5913.0,1776885960.573
-6237.0,1088.0,-5913.0,1776885961.08
-6169.0,1236.0,-5888.0,1776885961.586
-6204.0,1211.0,-5663.0,1776885963.099
-6232.0,1278.0,-5785.0,1776885963.593
-6199.0,1054.0,-6063.0,1776885964.099
-6287.0,1073.0,-5760.0,1776885965.093
-6174.0,1298.0,-5705.0,1776885965.593
-6287.0,1063.0,-6045.0,1776885966.593
-6214.0,1231.0,-5785.0,1776885967.094
-6199.0,1266.0,-5695.0,1776885967.593
-6224.0,1201.0,-5923.0,1776885968.113
-6242.0,1176.0,-6015.0,1776885968.622
-6307.0,1054.0,-5950.0,1776885969.113
-6437.0,326.0,-5770.0,1776885969.615
-6127.0,-1819.0,-6315.0,1776885970.113
-4044.0,-3821.0,-6848.0,1776885971.113
-4127.0,-3919.0,-6628.0,1776885971.62
-4127.0,-3849.0,-6700.0,1776885972.113
-4062.0,-3741.0,-6913.0,1776885972.613
-3859.0,-4549.0,-6040.0,1776885973.139
-4649.0,-3786.0,-4138.0,1776885973.633
-6174.0,-559.0,-4063.0,1776885974.134
-6369.0,76.0,-4588.0,1776885974.633
-6862.0,964.0,-4578.0,1776885975.642
-6639.0,3301.0,-4245.0,1776885976.141
-4964.0,6128.0,-4828.0,1776885977.145
-5047.0,6338.0,-4275.0,1776885978.134
-3279.0,5678.0,-5980.0,1776885978.639
1938.0,1753.0,-5745.0,1776885979.154
2786.0,9.0,-3093.0,1776885979.635
2521.0,-599.0,-1490.0,1776885980.133
2553.0,-446.0,-1393.0,1776885980.656
388.0,-2151.0,-15.0,1776885981.662
-1782.0,-2424.0,432.0,1776885982.159
-3369.0,-1106.0,-780.0,1776885983.16
-3364.0,-1199.0,-980.0,1776885983.653
-3379.0,-1184.0,-813.0,1776885984.153
-3507.0,-1554.0,-548.0,1776885984.661
-2664.0,-1839.0,-1190.0,1776885985.659
-2794.0,-1876.0,-775.0,1776885986.674
-2944.0,-1951.0,-908.0,1776885987.173
-3457.0,-1681.0,-935.0,1776885987.69
-3734.0,-831.0,-735.0,1776885988.179
-3762.0,-691.0,-415.0,1776885988.673
-3699.0,-641.0,-333.0,1776885989.181
-3704.0,-744.0,-690.0,1776885989.674
-3734.0,-821.0,-838.0,1776885990.194
-3734.0,-744.0,-588.0,1776885990.694
-3674.0,-651.0,-313.0,1776885991.194
-3684.0,-739.0,-583.0,1776885991.698
-3762.0,-856.0,-828.0,1776885992.194
-3714.0,-734.0,-573.0,1776885992.699
-3749.0,-701.0,-328.0,1776885993.194
-3684.0,-696.0,-530.0,1776885993.695
-3817.0,-999.0,-785.0,1776885994.194
-3762.0,-836.0,-638.0,1776885994.714
-3699.0,-729.0,-455.0,1776885995.22
-3724.0,-671.0,-475.0,1776885995.714
-3694.0,-749.0,-740.0,1776885996.221
-3704.0,-799.0,-720.0,1776885996.714
-3762.0,-754.0,-415.0,1776885997.227
-3714.0,-686.0,-358.0,1776885997.719
-3704.0,-739.0,-710.0,1776885998.22
-3739.0,-794.0,-790.0,1776885998.714
-3777.0,-774.0,-465.0,1776885999.215
-3719.0,-681.0,-338.0,1776885999.714
-3699.0,-749.0,-618.0,1776886000.214
-3767.0,-886.0,-853.0,1776886000.735
-3839.0,-1004.0,-695.0,1776886001.234
-3757.0,-696.0,-290.0,1776886001.741
-3752.0,-734.0,-568.0,1776886002.24
-3699.0,-764.0,-775.0,1776886002.736
-3907.0,-1139.0,-623.0,1776886003.241
-3749.0,-1521.0,-568.0,1776886003.743
