front_left,front_right,rear_left,rear_right,t
-58.0,-49.0,-58.0,-49.0,1776885834.276
-58.0,-49.0,-58.0,-49.0,1776885834.29
-58.0,-49.0,-58.0,-49.0,1776885834.316
-58.0,-49.0,-58.0,-49.0,1776885834.33
-70.0,-60.0,-70.0,-60.0,1776885834.356
67.0,70.0,67.0,70.0,1776885835.276
67.0,70.0,67.0,70.0,1776885835.29
67.0,70.0,67.0,70.0,1776885835.316
67.0,70.0,67.0,70.0,1776885835.33
67.0,70.0,67.0,70.0,1776885835.356
0.0,0.0,0.0,0.0,1776885837.77
0.0,0.0,0.0,0.0,1776885837.796
0.0,0.0,0.0,0.0,1776885837.81
0.0,0.0,0.0,0.0,1776885837.837
0.0,0.0,0.0,0.0,1776885837.85
-21.0,-15.0,-21.0,-15.0,1776885838.79
-21.0,-15.0,-21.0,-15.0,1776885838.816
-21.0,-15.0,-21.0,-15.0,1776885838.832
-21.0,-15.0,-21.0,-15.0,1776885838.858
-21.0,-15.0,-21.0,-15.0,1776885838.87
0.0,0.0,0.0,0.0,1776885840.29
0.0,0.0,0.0,0.0,1776885840.318
0.0,0.0,0.0,0.0,1776885840.33
0.0,0.0,0.0,0.0,1776885840.356
0.0,0.0,0.0,0.0,1776885840.37
0.0,0.0,0.0,0.0,1776885841.79
0.0,0.0,0.0,0.0,1776885841.816
0.0,0.0,0.0,0.0,1776885841.86
0.0,0.0,0.0,0.0,1776885841.871
0.0,0.0,0.0,0.0,1776885841.881
0.0,0.0,0.0,0.0,1776885842.796
0.0,0.0,0.0,0.0,1776885842.811
0.0,0.0,0.0,0.0,1776885842.838
0.0,0.0,0.0,0.0,1776885842.85
0.0,0.0,0.0,0.0,1776885842.878
0.0,0.0,0.0,0.0,1776885843.296
0.0,0.0,0.0,0.0,1776885843.31
0.0,0.0,0.0,0.0,1776885843.338
0.0,0.0,0.0,0.0,1776885843.352
0.0,0.0,0.0,0.0,1776885843.378
0.0,0.0,0.0,0.0,1776885844.79
0.0,0.0,0.0,0.0,1776885844.816
0.0,0.0,0.0,0.0,1776885844.83
0.0,0.0,0.0,0.0,1776885844.856
0.0,0.0,0.0,0.0,1776885844.87
0.0,0.0,0.0,0.0,1776885845.75
0.0,0.0,0.0,0.0,1776885845.776
0.0,0.0,0.0,0.0,1776885845.79
0.0,0.0,0.0,0.0,1776885845.817
0.0,0.0,0.0,0.0,1776885845.886
0.0,0.0,0.0,0.0,1776885846.816
0.0,0.0,0.0,0.0,1776885846.831
0.0,0.0,0.0,0.0,1776885846.857
0.0,0.0,0.0,0.0,1776885846.87
0.0,0.0,0.0,0.0,1776885846.897
0.0,-22.0,0.0,-22.0,1776885847.81
0.0,-22.0,0.0,-22.0,1776885847.862
0.0,-22.0,0.0,-22.0,1776885847.873
0.0,-22.0,0.0,-22.0,1776885847.884
0.0,-22.0,0.0,-22.0,1776885847.895
0.0,0.0,0.0,0.0,1776885848.81
0.0,0.0,0.0,0.0,1776885848.842
0.0,0.0,0.0,0.0,1776885848.853
0.0,0.0,0.0,0.0,1776885848.87
0.0,0.0,0.0,0.0,1776885848.896
0.0,0.0,0.0,0.0,1776885849.81
0.0,0.0,0.0,0.0,1776885849.861
0.0,0.0,0.0,0.0,1776885849.871
0.0,0.0,0.0,0.0,1776885849.882
0.0,0.0,0.0,0.0,1776885849.892
0.0,0.0,0.0,0.0,1776885851.81
0.0,0.0,0.0,0.0,1776885851.859
0.0,0.0,0.0,0.0,1776885851.87
0.0,0.0,0.0,0.0,1776885851.88
0.0,0.0,0.0,0.0,1776885851.891
0.0,0.0,0.0,0.0,1776885857.862
0.0,0.0,0.0,0.0,1776885857.873
0.0,0.0,0.0,0.0,1776885857.883
0.0,0.0,0.0,0.0,1776885857.894
0.0,0.0,0.0,0.0,1776885857.91
0.0,0.0,0.0,0.0,1776885859.331
0.0,0.0,0.0,0.0,1776885859.356
0.0,0.0,0.0,0.0,1776885859.37
0.0,0.0,0.0,0.0,1776885859.398
0.0,0.0,0.0,0.0,1776885859.41
0.0,0.0,0.0,0.0,1776885860.356
0.0,0.0,0.0,0.0,1776885860.37
0.0,0.0,0.0,0.0,1776885860.396
0.0,0.0,0.0,0.0,1776885860.41
0.0,0.0,0.0,0.0,1776885860.436
0.0,0.0,0.0,0.0,1776885861.883
0.0,0.0,0.0,0.0,1776885861.895
0.0,0.0,0.0,0.0,1776885861.905
0.0,0.0,0.0,0.0,1776885861.916
0.0,0.0,0.0,0.0,1776885861.93
0.0,0.0,0.0,0.0,1776885863.359
0.0,0.0,0.0,0.0,1776885863.371
0.0,0.0,0.0,0.0,1776885863.399
0.0,0.0,0.0,0.0,1776885863.411
0.0,0.0,0.0,0.0,1776885863.437
0.0,0.0,0.0,0.0,1776885864.856
0.0,0.0,0.0,0.0,1776885864.87
0.0,0.0,0.0,0.0,1776885864.896
0.0,0.0,0.0,0.0,1776885864.91
0.0,0.0,0.0,0.0,1776885864.936
0.0,0.0,0.0,0.0,1776885875.031
0.0,0.0,0.0,0.0,1776885875.057
0.0,0.0,0.0,0.0,1776885875.071
0.0,0.0,0.0,0.0,1776885875.097
0.0,0.0,0.0,0.0,1776885875.111
0.0,0.0,0.0,0.0,1776885881.519
0.0,0.0,0.0,0.0,1776885881.531
0.0,0.0,0.0,0.0,1776885881.56
0.0,0.0,0.0,0.0,1776885881.571
0.0,0.0,0.0,0.0,1776885881.606
45.0,42.0,45.0,42.0,1776885882.717
45.0,42.0,45.0,42.0,1776885882.746
45.0,42.0,45.0,42.0,1776885882.759
45.0,42.0,45.0,42.0,1776885882.771
45.0,42.0,45.0,42.0,1776885882.797
-10.0,10.0,-10.0,10.0,1776885883.718
-10.0,10.0,-10.0,10.0,1776885883.731
-10.0,10.0,-10.0,10.0,1776885883.757
-10.0,10.0,-10.0,10.0,1776885883.771
-10.0,10.0,-10.0,10.0,1776885883.798
0.0,0.0,0.0,0.0,1776885884.14
0.0,0.0,0.0,0.0,1776885884.151
0.0,0.0,0.0,0.0,1776885884.177
0.0,0.0,0.0,0.0,1776885884.191
0.0,0.0,0.0,0.0,1776885884.217
0.0,0.0,0.0,0.0,1776885885.22
0.0,0.0,0.0,0.0,1776885885.231
0.0,0.0,0.0,0.0,1776885885.257
0.0,0.0,0.0,0.0,1776885885.273
0.0,0.0,0.0,0.0,1776885885.293
0.0,0.0,0.0,0.0,1776885885.731
0.0,0.0,0.0,0.0,1776885885.757
0.0,0.0,0.0,0.0,1776885885.771
0.0,0.0,0.0,0.0,1776885885.8
0.0,0.0,0.0,0.0,1776885885.811
0.0,0.0,0.0,0.0,1776885886.157
0.0,0.0,0.0,0.0,1776885886.171
0.0,0.0,0.0,0.0,1776885886.199
0.0,0.0,0.0,0.0,1776885886.211
0.0,0.0,0.0,0.0,1776885886.237
0.0,0.0,0.0,0.0,1776885886.731
0.0,0.0,0.0,0.0,1776885886.757
0.0,0.0,0.0,0.0,1776885886.771
0.0,0.0,0.0,0.0,1776885886.798
0.0,0.0,0.0,0.0,1776885886.811
0.0,0.0,0.0,0.0,1776885887.251
0.0,0.0,0.0,0.0,1776885887.279
0.0,0.0,0.0,0.0,1776885887.291
0.0,0.0,0.0,0.0,1776885887.32
0.0,0.0,0.0,0.0,1776885887.332
0.0,0.0,0.0,0.0,1776885888.231
0.0,0.0,0.0,0.0,1776885888.257
0.0,0.0,0.0,0.0,1776885888.31
0.0,0.0,0.0,0.0,1776885888.321
0.0,0.0,0.0,0.0,1776885888.332
0.0,0.0,0.0,0.0,1776885888.751
0.0,0.0,0.0,0.0,1776885888.777
0.0,0.0,0.0,0.0,1776885888.792
0.0,0.0,0.0,0.0,1776885888.813
0.0,0.0,0.0,0.0,1776885888.839
0.0,0.0,0.0,0.0,1776885889.252
0.0,0.0,0.0,0.0,1776885889.279
0.0,0.0,0.0,0.0,1776885889.291
0.0,0.0,0.0,0.0,1776885889.317
0.0,0.0,0.0,0.0,1776885889.331
0.0,0.0,0.0,0.0,1776885889.751
0.0,0.0,0.0,0.0,1776885889.777
0.0,0.0,0.0,0.0,1776885889.791
0.0,0.0,0.0,0.0,1776885889.817
0.0,0.0,0.0,0.0,1776885889.831
0.0,0.0,0.0,0.0,1776885890.171
0.0,0.0,0.0,0.0,1776885890.197
0.0,0.0,0.0,0.0,1776885890.211
0.0,0.0,0.0,0.0,1776885890.239
0.0,0.0,0.0,0.0,1776885890.251
0.0,0.0,0.0,0.0,1776885892.777
0.0,0.0,0.0,0.0,1776885892.791
0.0,0.0,0.0,0.0,1776885892.817
0.0,0.0,0.0,0.0,1776885892.831
0.0,0.0,0.0,0.0,1776885892.857
0.0,0.0,0.0,0.0,1776885893.271
0.0,0.0,0.0,0.0,1776885893.297
0.0,0.0,0.0,0.0,1776885893.311
0.0,0.0,0.0,0.0,1776885893.338
0.0,0.0,0.0,0.0,1776885893.351
0.0,0.0,0.0,0.0,1776885893.772
0.0,0.0,0.0,0.0,1776885893.791
0.0,0.0,0.0,0.0,1776885893.812
0.0,0.0,0.0,0.0,1776885893.839
0.0,0.0,0.0,0.0,1776885893.851
0.0,0.0,0.0,0.0,1776885894.271
0.0,0.0,0.0,0.0,1776885894.304
0.0,0.0,0.0,0.0,1776885894.321
0.0,0.0,0.0,0.0,1776885894.332
0.0,0.0,0.0,0.0,1776885894.358
0.0,0.0,0.0,0.0,1776885894.778
0.0,0.0,0.0,0.0,1776885894.791
0.0,0.0,0.0,0.0,1776885894.817
0.0,0.0,0.0,0.0,1776885894.831
0.0,0.0,0.0,0.0,1776885894.857
-66.0,-66.0,-66.0,-66.0,1776885895.777
-66.0,-66.0,-66.0,-66.0,1776885895.792
-66.0,-66.0,-66.0,-66.0,1776885895.818
-66.0,-66.0,-66.0,-66.0,1776885895.831
-66.0,-66.0,-66.0,-66.0,1776885895.857
-101.0,-100.0,-101.0,-100.0,1776885896.271
-101.0,-100.0,-101.0,-100.0,1776885896.298
-106.0,-105.0,-106.0,-105.0,1776885896.311
-106.0,-105.0,-106.0,-105.0,1776885896.337
-106.0,-105.0,-106.0,-105.0,1776885896.351
-113.0,-111.0,-113.0,-111.0,1776885896.778
-113.0,-111.0,-113.0,-111.0,1776885896.791
-113.0,-111.0,-113.0,-111.0,1776885896.819
-113.0,-111.0,-113.0,-111.0,1776885896.831
-115.0,-112.0,-115.0,-112.0,1776885896.852
0.0,0.0,0.0,0.0,1776885898.791
0.0,0.0,0.0,0.0,1776885898.817
0.0,0.0,0.0,0.0,1776885898.831
0.0,0.0,0.0,0.0,1776885898.857
0.0,0.0,0.0,0.0,1776885898.871
0.0,0.0,0.0,0.0,1776885899.291
0.0,0.0,0.0,0.0,1776885899.312
0.0,0.0,0.0,0.0,1776885899.337
0.0,0.0,0.0,0.0,1776885899.351
0.0,0.0,0.0,0.0,1776885899.377
0.0,0.0,0.0,0.0,1776885899.792
0.0,0.0,0.0,0.0,1776885899.817
0.0,0.0,0.0,0.0,1776885899.831
0.0,0.0,0.0,0.0,1776885899.857
0.0,0.0,0.0,0.0,1776885899.871
0.0,0.0,0.0,0.0,1776885900.291
0.0,0.0,0.0,0.0,1776885900.318
0.0,0.0,0.0,0.0,1776885900.331
0.0,0.0,0.0,0.0,1776885900.357
0.0,0.0,0.0,0.0,1776885900.371
0.0,0.0,0.0,0.0,1776885900.791
0.0,0.0,0.0,0.0,1776885900.817
0.0,0.0,0.0,0.0,1776885900.831
0.0,0.0,0.0,0.0,1776885900.857
0.0,0.0,0.0,0.0,1776885900.871
0.0,0.0,0.0,0.0,1776885901.297
0.0,0.0,0.0,0.0,1776885901.311
0.0,0.0,0.0,0.0,1776885901.337
0.0,0.0,0.0,0.0,1776885901.352
0.0,0.0,0.0,0.0,1776885901.378
0.0,1.0,0.0,1.0,1776885901.798
0.0,1.0,0.0,1.0,1776885901.811
0.0,1.0,0.0,1.0,1776885901.839
0.0,1.0,0.0,1.0,1776885901.851
0.0,1.0,0.0,1.0,1776885901.879
-6.0,8.0,-6.0,8.0,1776885902.291
-9.0,10.0,-9.0,10.0,1776885902.318
-9.0,10.0,-9.0,10.0,1776885902.331
-9.0,10.0,-9.0,10.0,1776885902.357
-9.0,10.0,-9.0,10.0,1776885902.371
-17.0,12.0,-17.0,12.0,1776885902.799
-21.0,12.0,-21.0,12.0,1776885902.811
-21.0,12.0,-21.0,12.0,1776885902.838
-21.0,12.0,-21.0,12.0,1776885902.851
-21.0,12.0,-21.0,12.0,1776885902.879
-25.0,13.0,-25.0,13.0,1776885903.292
-25.0,13.0,-25.0,13.0,1776885903.318
-26.0,13.0,-26.0,13.0,1776885903.331
-26.0,13.0,-26.0,13.0,1776885903.351
-26.0,13.0,-26.0,13.0,1776885903.377
-23.0,15.0,-23.0,15.0,1776885903.791
-23.0,15.0,-23.0,15.0,1776885903.817
-23.0,15.0,-23.0,15.0,1776885903.831
-21.0,18.0,-21.0,18.0,1776885903.858
-21.0,18.0,-21.0,18.0,1776885903.871
-21.0,20.0,-21.0,20.0,1776885904.817
-21.0,20.0,-21.0,20.0,1776885904.831
-21.0,17.0,-21.0,17.0,1776885904.857
-21.0,17.0,-21.0,17.0,1776885904.872
-21.0,17.0,-21.0,17.0,1776885904.898
-18.0,13.0,-18.0,13.0,1776885905.318
-18.0,13.0,-18.0,13.0,1776885905.332
-18.0,13.0,-18.0,13.0,1776885905.359
-17.0,10.0,-17.0,10.0,1776885905.372
-17.0,10.0,-17.0,10.0,1776885905.392
-1.0,4.0,-1.0,4.0,1776885905.811
-1.0,4.0,-1.0,4.0,1776885905.838
-1.0,4.0,-1.0,4.0,1776885905.852
-1.0,4.0,-1.0,4.0,1776885905.877
-1.0,4.0,-1.0,4.0,1776885905.891
0.0,0.0,0.0,0.0,1776885906.311
0.0,0.0,0.0,0.0,1776885906.337
0.0,0.0,0.0,0.0,1776885906.352
0.0,0.0,0.0,0.0,1776885906.377
0.0,0.0,0.0,0.0,1776885906.392
0.0,0.0,0.0,0.0,1776885906.818
0.0,0.0,0.0,0.0,1776885906.832
0.0,0.0,0.0,0.0,1776885906.857
0.0,0.0,0.0,0.0,1776885906.871
0.0,0.0,0.0,0.0,1776885906.897
0.0,0.0,0.0,0.0,1776885907.312
0.0,0.0,0.0,0.0,1776885907.338
0.0,0.0,0.0,0.0,1776885907.351
0.0,0.0,0.0,0.0,1776885907.377
0.0,0.0,0.0,0.0,1776885907.391
0.0,0.0,0.0,0.0,1776885907.817
0.0,0.0,0.0,0.0,1776885907.832
0.0,0.0,0.0,0.0,1776885907.858
0.0,0.0,0.0,0.0,1776885907.872
0.0,0.0,0.0,0.0,1776885907.899
2.0,-2.0,2.0,-2.0,1776885908.817
4.0,-3.0,4.0,-3.0,1776885908.832
4.0,-3.0,4.0,-3.0,1776885908.858
4.0,-3.0,4.0,-3.0,1776885908.872
4.0,-3.0,4.0,-3.0,1776885908.9
19.0,-18.0,19.0,-18.0,1776885909.838
21.0,-21.0,21.0,-21.0,1776885909.852
21.0,-21.0,21.0,-21.0,1776885909.873
21.0,-21.0,21.0,-21.0,1776885909.899
21.0,-21.0,21.0,-21.0,1776885909.912
24.0,-27.0,24.0,-27.0,1776885910.312
24.0,-27.0,24.0,-27.0,1776885910.339
24.0,-27.0,24.0,-27.0,1776885910.352
20.0,-24.0,20.0,-24.0,1776885910.378
20.0,-24.0,20.0,-24.0,1776885910.392
9.0,-9.0,9.0,-9.0,1776885911.338
6.0,-5.0,6.0,-5.0,1776885911.352
6.0,-5.0,6.0,-5.0,1776885911.377
6.0,-5.0,6.0,-5.0,1776885911.392
6.0,-5.0,6.0,-5.0,1776885911.418
0.0,0.0,0.0,0.0,1776885911.817
0.0,0.0,0.0,0.0,1776885911.837
0.0,0.0,0.0,0.0,1776885911.852
0.0,0.0,0.0,0.0,1776885911.878
0.0,0.0,0.0,0.0,1776885911.892
0.0,0.0,0.0,0.0,1776885912.337
0.0,0.0,0.0,0.0,1776885912.352
0.0,0.0,0.0,0.0,1776885912.373
0.0,0.0,0.0,0.0,1776885912.399
0.0,0.0,0.0,0.0,1776885912.412
0.0,0.0,0.0,0.0,1776885912.832
0.0,0.0,0.0,0.0,1776885912.857
0.0,0.0,0.0,0.0,1776885912.872
0.0,0.0,0.0,0.0,1776885912.899
0.0,0.0,0.0,0.0,1776885912.914
0.0,0.0,0.0,0.0,1776885913.34
1.0,0.0,1.0,0.0,1776885913.352
1.0,0.0,1.0,0.0,1776885913.378
1.0,0.0,1.0,0.0,1776885913.392
1.0,0.0,1.0,0.0,1776885913.418
20.0,-12.0,20.0,-12.0,1776885914.338
20.0,-12.0,20.0,-12.0,1776885914.352
20.0,-12.0,20.0,-12.0,1776885914.378
20.0,-12.0,20.0,-12.0,1776885914.392
23.0,-16.0,23.0,-16.0,1776885914.418
22.0,-19.0,22.0,-19.0,1776885914.832
22.0,-19.0,22.0,-19.0,1776885914.858
22.0,-19.0,22.0,-19.0,1776885914.872
22.0,-19.0,22.0,-19.0,1776885914.898
22.0,-19.0,22.0,-19.0,1776885914.912
18.0,-23.0,18.0,-23.0,1776885915.332
18.0,-22.0,18.0,-22.0,1776885915.358
18.0,-22.0,18.0,-22.0,1776885915.378
18.0,-22.0,18.0,-22.0,1776885915.392
18.0,-22.0,18.0,-22.0,1776885915.418
17.0,-24.0,17.0,-24.0,1776885915.832
17.0,-24.0,17.0,-24.0,1776885915.858
16.0,-25.0,16.0,-25.0,1776885915.872
16.0,-25.0,16.0,-25.0,1776885915.897
16.0,-25.0,16.0,-25.0,1776885915.912
21.0,-28.0,21.0,-28.0,1776885916.338
21.0,-28.0,21.0,-28.0,1776885916.352
21.0,-28.0,21.0,-28.0,1776885916.378
21.0,-28.0,21.0,-28.0,1776885916.392
21.0,-28.0,21.0,-28.0,1776885916.419
21.0,-22.0,21.0,-22.0,1776885917.352
21.0,-22.0,21.0,-22.0,1776885917.378
18.0,-20.0,18.0,-20.0,1776885917.392
18.0,-20.0,18.0,-20.0,1776885917.418
18.0,-20.0,18.0,-20.0,1776885917.432
18.0,-15.0,18.0,-15.0,1776885917.832
18.0,-15.0,18.0,-15.0,1776885917.858
18.0,-15.0,18.0,-15.0,1776885917.873
18.0,-15.0,18.0,-15.0,1776885917.9
18.0,-15.0,18.0,-15.0,1776885917.912
9.0,-10.0,9.0,-10.0,1776885918.352
9.0,-10.0,9.0,-10.0,1776885918.377
9.0,-10.0,9.0,-10.0,1776885918.392
9.0,-10.0,9.0,-10.0,1776885918.421
9.0,-10.0,9.0,-10.0,1776885918.432
4.0,-7.0,4.0,-7.0,1776885918.858
4.0,-4.0,4.0,-4.0,1776885918.872
4.0,-4.0,4.0,-4.0,1776885918.905
4.0,-4.0,4.0,-4.0,1776885918.915
4.0,-4.0,4.0,-4.0,1776885918.932
0.0,0.0,0.0,0.0,1776885919.352
0.0,0.0,0.0,0.0,1776885919.378
0.0,0.0,0.0,0.0,1776885919.392
0.0,0.0,0.0,0.0,1776885919.419
0.0,0.0,0.0,0.0,1776885919.432
0.0,0.0,0.0,0.0,1776885919.858
0.0,0.0,0.0,0.0,1776885919.872
0.0,0.0,0.0,0.0,1776885919.898
0.0,0.0,0.0,0.0,1776885919.912
0.0,0.0,0.0,0.0,1776885919.938
0.0,0.0,0.0,0.0,1776885920.352
0.0,0.0,0.0,0.0,1776885920.378
0.0,0.0,0.0,0.0,1776885920.392
0.0,0.0,0.0,0.0,1776885920.418
0.0,0.0,0.0,0.0,1776885920.432
0.0,0.0,0.0,0.0,1776885920.852
0.0,0.0,0.0,0.0,1776885920.881
0.0,0.0,0.0,0.0,1776885920.892
0.0,0.0,0.0,0.0,1776885920.918
0.0,0.0,0.0,0.0,1776885920.932
0.0,0.0,0.0,0.0,1776885921.358
0.0,0.0,0.0,0.0,1776885921.372
0.0,0.0,0.0,0.0,1776885921.4
0.0,0.0,0.0,0.0,1776885921.412
0.0,0.0,0.0,0.0,1776885921.44
0.0,5.0,0.0,5.0,1776885921.872
0.0,5.0,0.0,5.0,1776885921.898
0.0,5.0,0.0,5.0,1776885921.912
0.0,5.0,0.0,5.0,1776885921.938
0.0,5.0,0.0,5.0,1776885921.952
-1.0,9.0,-1.0,9.0,1776885922.352
-1.0,9.0,-1.0,9.0,1776885922.38
-4.0,9.0,-4.0,9.0,1776885922.392
-4.0,9.0,-4.0,9.0,1776885922.418
-4.0,9.0,-4.0,9.0,1776885922.432
-12.0,11.0,-12.0,11.0,1776885922.872
-12.0,11.0,-12.0,11.0,1776885922.899
-12.0,11.0,-12.0,11.0,1776885922.912
-12.0,11.0,-12.0,11.0,1776885922.939
-12.0,11.0,-12.0,11.0,1776885922.952
-16.0,13.0,-16.0,13.0,1776885923.372
-16.0,13.0,-16.0,13.0,1776885923.4
-16.0,13.0,-16.0,13.0,1776885923.412
-16.0,13.0,-16.0,13.0,1776885923.438
-16.0,13.0,-16.0,13.0,1776885923.452
-20.0,15.0,-20.0,15.0,1776885923.878
-20.0,15.0,-20.0,15.0,1776885923.892
-20.0,15.0,-20.0,15.0,1776885923.92
-20.0,15.0,-20.0,15.0,1776885923.933
-20.0,15.0,-20.0,15.0,1776885923.952
-19.0,19.0,-19.0,19.0,1776885924.352
-19.0,19.0,-19.0,19.0,1776885924.379
-19.0,19.0,-19.0,19.0,1776885924.392
-22.0,17.0,-22.0,17.0,1776885924.418
-22.0,17.0,-22.0,17.0,1776885924.432
-26.0,16.0,-26.0,16.0,1776885924.872
-26.0,16.0,-26.0,16.0,1776885924.899
-26.0,16.0,-26.0,16.0,1776885924.913
-26.0,16.0,-26.0,16.0,1776885924.94
-26.0,16.0,-26.0,16.0,1776885924.952
-25.0,15.0,-25.0,15.0,1776885925.378
-25.0,15.0,-25.0,15.0,1776885925.399
-25.0,15.0,-25.0,15.0,1776885925.412
-25.0,15.0,-25.0,15.0,1776885925.44
-25.0,15.0,-25.0,15.0,1776885925.452
-18.0,22.0,-18.0,22.0,1776885925.88
-18.0,22.0,-18.0,22.0,1776885925.892
-18.0,22.0,-18.0,22.0,1776885925.92
-18.0,22.0,-18.0,22.0,1776885925.939
-18.0,22.0,-18.0,22.0,1776885925.952
-16.0,22.0,-16.0,22.0,1776885926.373
-16.0,22.0,-16.0,22.0,1776885926.393
-16.0,22.0,-16.0,22.0,1776885926.419
-15.0,25.0,-15.0,25.0,1776885926.433
-15.0,25.0,-15.0,25.0,1776885926.452
-8.0,7.0,-8.0,7.0,1776885927.38
-8.0,7.0,-8.0,7.0,1776885927.395
-8.0,7.0,-8.0,7.0,1776885927.413
-8.0,7.0,-8.0,7.0,1776885927.439
-8.0,7.0,-8.0,7.0,1776885927.452
0.0,0.0,0.0,0.0,1776885927.892
0.0,0.0,0.0,0.0,1776885927.918
0.0,0.0,0.0,0.0,1776885927.932
0.0,0.0,0.0,0.0,1776885927.958
0.0,0.0,0.0,0.0,1776885927.972
-1.0,3.0,-1.0,3.0,1776885928.373
-1.0,3.0,-1.0,3.0,1776885928.399
-3.0,3.0,-3.0,3.0,1776885928.412
-3.0,3.0,-3.0,3.0,1776885928.44
-3.0,3.0,-3.0,3.0,1776885928.452
-6.0,7.0,-6.0,7.0,1776885928.892
-6.0,7.0,-6.0,7.0,1776885928.918
-9.0,9.0,-9.0,9.0,1776885928.932
-9.0,9.0,-9.0,9.0,1776885928.961
-9.0,9.0,-9.0,9.0,1776885928.972
-16.0,16.0,-16.0,16.0,1776885929.392
-16.0,16.0,-16.0,16.0,1776885929.418
-16.0,16.0,-16.0,16.0,1776885929.432
-20.0,15.0,-20.0,15.0,1776885929.458
-20.0,15.0,-20.0,15.0,1776885929.472
-20.0,18.0,-20.0,18.0,1776885929.892
-20.0,18.0,-20.0,18.0,1776885929.919
-20.0,18.0,-20.0,18.0,1776885929.932
-20.0,18.0,-20.0,18.0,1776885929.959
-20.0,18.0,-20.0,18.0,1776885929.972
-22.0,23.0,-22.0,23.0,1776885930.392
-22.0,23.0,-22.0,23.0,1776885930.422
-21.0,24.0,-21.0,24.0,1776885930.432
-21.0,24.0,-21.0,24.0,1776885930.458
-21.0,24.0,-21.0,24.0,1776885930.472
-19.0,26.0,-19.0,26.0,1776885930.898
-19.0,26.0,-19.0,26.0,1776885930.912
-19.0,26.0,-19.0,26.0,1776885930.94
-19.0,26.0,-19.0,26.0,1776885930.953
-16.0,22.0,-16.0,22.0,1776885930.979
-16.0,14.0,-16.0,14.0,1776885931.392
-16.0,14.0,-16.0,14.0,1776885931.418
-16.0,14.0,-16.0,14.0,1776885931.432
-16.0,14.0,-16.0,14.0,1776885931.458
-12.0,13.0,-12.0,13.0,1776885931.472
0.0,0.0,0.0,0.0,1776885932.399
0.0,0.0,0.0,0.0,1776885932.412
0.0,0.0,0.0,0.0,1776885932.438
0.0,0.0,0.0,0.0,1776885932.452
0.0,0.0,0.0,0.0,1776885932.478
0.0,0.0,0.0,0.0,1776885932.892
0.0,0.0,0.0,0.0,1776885932.918
0.0,0.0,0.0,0.0,1776885932.932
0.0,0.0,0.0,0.0,1776885932.958
0.0,0.0,0.0,0.0,1776885932.977
0.0,0.0,0.0,0.0,1776885933.4
0.0,0.0,0.0,0.0,1776885933.412
0.0,0.0,0.0,0.0,1776885933.44
0.0,0.0,0.0,0.0,1776885933.455
0.0,0.0,0.0,0.0,1776885933.481
4.0,7.0,4.0,7.0,1776885933.918
4.0,7.0,4.0,7.0,1776885933.935
4.0,7.0,4.0,7.0,1776885933.952
4.0,7.0,4.0,7.0,1776885933.978
13.0,17.0,13.0,17.0,1776885933.992
41.0,45.0,41.0,45.0,1776885934.418
41.0,45.0,41.0,45.0,1776885934.432
41.0,45.0,41.0,45.0,1776885934.452
41.0,45.0,41.0,45.0,1776885934.478
41.0,45.0,41.0,45.0,1776885934.492
87.0,88.0,87.0,88.0,1776885934.912
87.0,88.0,87.0,88.0,1776885934.938
87.0,88.0,87.0,88.0,1776885934.953
87.0,88.0,87.0,88.0,1776885934.979
87.0,88.0,87.0,88.0,1776885934.993
73.0,71.0,73.0,71.0,1776885935.392
64.0,63.0,64.0,63.0,1776885935.42
64.0,63.0,64.0,63.0,1776885935.432
64.0,63.0,64.0,63.0,1776885935.462
64.0,63.0,64.0,63.0,1776885935.472
23.0,21.0,23.0,21.0,1776885935.912
23.0,21.0,23.0,21.0,1776885935.94
23.0,21.0,23.0,21.0,1776885935.952
23.0,21.0,23.0,21.0,1776885935.978
23.0,21.0,23.0,21.0,1776885935.992
0.0,0.0,0.0,0.0,1776885936.412
0.0,0.0,0.0,0.0,1776885936.44
0.0,-8.0,0.0,-8.0,1776885936.452
0.0,-8.0,0.0,-8.0,1776885936.479
0.0,-8.0,0.0,-8.0,1776885936.495
10.0,-14.0,10.0,-14.0,1776885937.412
10.0,-14.0,10.0,-14.0,1776885937.438
13.0,-17.0,13.0,-17.0,1776885937.456
13.0,-17.0,13.0,-17.0,1776885937.472
13.0,-17.0,13.0,-17.0,1776885937.499
17.0,-14.0,17.0,-14.0,1776885937.912
17.0,-14.0,17.0,-14.0,1776885937.938
17.0,-14.0,17.0,-14.0,1776885937.952
17.0,-17.0,17.0,-17.0,1776885937.979
17.0,-17.0,17.0,-17.0,1776885937.992
16.0,-15.0,16.0,-15.0,1776885938.418
16.0,-15.0,16.0,-15.0,1776885938.432
16.0,-15.0,16.0,-15.0,1776885938.458
16.0,-15.0,16.0,-15.0,1776885938.472
15.0,-15.0,15.0,-15.0,1776885938.501
7.0,-8.0,7.0,-8.0,1776885938.912
7.0,-8.0,7.0,-8.0,1776885938.934
7.0,-8.0,7.0,-8.0,1776885938.959
7.0,-8.0,7.0,-8.0,1776885938.972
7.0,-8.0,7.0,-8.0,1776885938.998
1.0,-1.0,1.0,-1.0,1776885939.418
1.0,-1.0,1.0,-1.0,1776885939.432
1.0,-1.0,1.0,-1.0,1776885939.458
1.0,-1.0,1.0,-1.0,1776885939.472
